0	1	-53.67
1	0	-49.69
0	2	-89.92
2	0	-86.10
0	5	-89.68
5	0	-87.44
0	6	-89.84
6	0	-85.44
0	10	-64.90
10	0	-64.84
0	11	-77.66
11	0	-79.85
0	15	-81.18
15	0	-84.30
0	19	-84.35
19	0	-82.27
0	22	-86.99
22	0	-83.26
0	23	-84.99
23	0	-82.65
0	25	-85.07
25	0	-84.87
0	26	-82.38
26	0	-85.07
0	30	-84.67
30	0	-82.77
0	34	-88.45
34	0	-87.46
0	35	-76.02
35	0	-72.83
0	38	-79.09
38	0	-80.11
0	39	-84.16
39	0	-87.11
0	41	-87.68
41	0	-83.26
0	42	-84.90
42	0	-85.81
0	50	-83.86
50	0	-84.23
0	53	-75.40
53	0	-71.94
0	59	-74.84
59	0	-73.12
0	76	-55.24
76	0	-58.42
0	77	-72.49
77	0	-72.66
0	78	-82.34
78	0	-78.04
0	89	-61.78
89	0	-64.70
0	91	-61.78
91	0	-62.82
0	97	-84.30
97	0	-82.84
0	100	-69.17
100	0	-70.07
1	2	-84.76
2	1	-84.91
1	3	-81.72
3	1	-83.73
1	4	-80.94
4	1	-89.79
1	5	-74.41
5	1	-76.14
1	6	-75.52
6	1	-75.09
1	10	-74.76
10	1	-78.67
1	13	-82.95
13	1	-85.78
1	15	-68.73
15	1	-75.82
1	19	-79.98
19	1	-81.88
1	20	-89.80
20	1	-89.51
1	22	-80.62
22	1	-80.87
1	23	-81.87
23	1	-83.51
1	25	-75.85
25	1	-79.63
1	26	-79.66
26	1	-86.32
1	35	-80.67
35	1	-81.45
1	38	-66.63
38	1	-71.63
1	39	-79.44
39	1	-86.36
1	41	-84.17
41	1	-83.73
1	42	-59.79
42	1	-64.68
1	49	-82.27
49	1	-88.03
1	53	-80.99
53	1	-81.49
1	59	-64.77
59	1	-67.03
1	60	-85.37
60	1	-89.99
1	63	-87.96
63	1	-85.80
1	66	-78.53
66	1	-79.85
1	67	-83.67
67	1	-86.92
1	75	-82.66
75	1	-89.99
1	76	-63.01
76	1	-70.16
1	77	-69.80
77	1	-73.95
1	78	-88.42
78	1	-88.09
1	80	-82.11
80	1	-78.29
1	82	-86.34
82	1	-88.04
1	89	-73.32
89	1	-80.21
1	91	-64.17
91	1	-69.19
1	100	-56.26
100	1	-61.13
2	3	-85.18
3	2	-87.04
2	8	-72.35
8	2	-78.67
2	11	-73.27
11	2	-79.27
2	13	-86.24
13	2	-88.93
2	16	-76.00
16	2	-80.79
2	19	-81.35
19	2	-83.10
2	20	-82.13
20	2	-81.69
2	26	-83.28
26	2	-89.79
2	31	-77.32
31	2	-79.75
2	33	-86.17
33	2	-89.64
2	36	-59.69
36	2	-66.48
2	39	-73.26
39	2	-80.03
2	49	-69.12
49	2	-74.73
2	53	-81.22
53	2	-81.58
2	59	-81.41
59	2	-83.52
2	76	-76.32
76	2	-83.32
2	78	-84.05
78	2	-83.58
2	80	-86.00
80	2	-82.03
2	82	-87.91
82	2	-89.47
2	83	-69.71
83	2	-70.59
2	86	-62.78
86	2	-60.66
2	90	-80.52
90	2	-81.96
2	92	-84.79
92	2	-86.89
2	97	-78.36
97	2	-80.72
3	5	-61.35
5	3	-61.07
3	6	-71.50
6	3	-69.07
3	9	-89.44
9	3	-89.25
3	10	-84.50
10	3	-86.39
3	13	-86.21
13	3	-87.03
3	15	-82.69
15	3	-87.77
3	17	-80.96
17	3	-84.02
3	18	-81.56
18	3	-82.12
3	19	-84.15
19	3	-84.03
3	21	-79.94
21	3	-85.69
3	22	-83.23
22	3	-81.47
3	23	-71.23
23	3	-70.85
3	28	-80.16
28	3	-84.39
3	30	-86.73
30	3	-86.79
3	32	-86.94
32	3	-89.44
3	34	-84.92
34	3	-85.90
3	42	-67.74
42	3	-70.62
3	45	-72.99
45	3	-75.49
3	53	-83.23
53	3	-81.72
3	59	-86.74
59	3	-86.99
3	65	-82.46
65	3	-83.75
3	66	-87.89
66	3	-87.19
3	67	-87.68
67	3	-88.92
3	77	-82.93
77	3	-85.07
3	78	-84.20
78	3	-81.86
3	82	-83.23
82	3	-82.93
3	91	-80.60
91	3	-83.60
3	97	-82.95
97	3	-83.46
3	99	-84.06
99	3	-87.11
3	100	-73.12
100	3	-75.98
4	7	-87.68
7	4	-82.35
4	10	-88.28
