gain	0	1	-63.01
gain	1	0	-59.04
gain	0	2	-93.84
gain	2	0	-90.11
gain	0	3	-87.18
gain	3	0	-85.38
gain	0	4	-87.21
gain	4	0	-76.76
gain	0	5	-94.94
gain	5	0	-92.62
gain	0	6	-87.69
gain	6	0	-82.42
gain	0	7	-83.01
gain	7	0	-78.95
gain	0	8	-88.35
gain	8	0	-85.08
gain	0	9	-99.65
gain	9	0	-97.13
gain	0	10	-84.95
gain	10	0	-78.81
gain	0	11	-99.83
gain	11	0	-97.39
gain	0	12	-105.75
gain	12	0	-101.48
gain	0	13	-95.22
gain	13	0	-93.89
gain	0	14	-101.97
gain	14	0	-96.36
gain	0	15	-74.07
gain	15	0	-69.67
gain	0	16	-94.50
gain	16	0	-89.24
gain	0	17	-101.30
gain	17	0	-97.66
gain	0	18	-104.36
gain	18	0	-98.63
gain	0	19	-87.53
gain	19	0	-83.56
gain	0	20	-94.77
gain	20	0	-88.59
gain	0	21	-92.99
gain	21	0	-90.55
gain	0	22	-87.19
gain	22	0	-79.67
gain	0	23	-96.29
gain	23	0	-94.99
gain	0	24	-104.93
gain	24	0	-103.56
gain	0	25	-76.87
gain	25	0	-72.45
gain	0	26	-76.54
gain	26	0	-71.02
gain	0	27	-107.65
gain	27	0	-104.80
gain	0	28	-102.26
gain	28	0	-99.59
gain	0	29	-105.00
gain	29	0	-104.51
gain	0	30	-100.83
gain	30	0	-96.65
gain	0	31	-99.76
gain	31	0	-94.78
gain	0	32	-101.73
gain	32	0	-98.22
gain	0	33	-81.08
gain	33	0	-78.12
gain	0	34	-92.76
gain	34	0	-92.86
gain	0	35	-86.91
gain	35	0	-79.92
gain	0	36	-99.71
gain	36	0	-94.21
gain	0	37	-109.85
gain	37	0	-104.58
gain	0	38	-81.84
gain	38	0	-79.05
gain	0	39	-83.63
gain	39	0	-84.02
gain	0	40	-106.68
gain	40	0	-104.75
gain	0	41	-90.64
gain	41	0	-90.00
gain	0	42	-88.85
gain	42	0	-80.66
gain	0	43	-104.05
gain	43	0	-100.63
gain	0	44	-109.74
gain	44	0	-105.65
gain	0	45	-90.16
gain	45	0	-84.73
gain	0	46	-97.74
gain	46	0	-93.12
gain	0	47	-95.79
gain	47	0	-92.36
gain	0	48	-92.53
gain	48	0	-86.49
gain	0	49	-101.21
gain	49	0	-98.90
gain	0	50	-84.95
gain	50	0	-81.69
gain	0	51	-96.41
gain	51	0	-97.91
gain	0	52	-95.74
gain	52	0	-91.08
gain	0	53	-75.38
gain	53	0	-73.46
gain	0	54	-90.95
gain	54	0	-87.41
gain	0	55	-105.53
gain	55	0	-102.10
gain	0	56	-116.48
gain	56	0	-113.84
gain	0	57	-88.26
gain	57	0	-81.24
gain	0	58	-92.61
gain	58	0	-90.19
gain	0	59	-69.44
gain	59	0	-65.35
gain	0	60	-100.35
gain	60	0	-94.81
gain	0	61	-114.61
gain	61	0	-113.98
gain	0	62	-91.67
gain	62	0	-85.56
gain	0	63	-90.43
gain	63	0	-87.04
gain	0	64	-101.40
gain	64	0	-99.71
gain	0	65	-100.01
gain	65	0	-99.07
gain	0	66	-82.45
gain	66	0	-77.66
gain	0	67	-93.27
gain	67	0	-87.62
gain	0	68	-102.89
gain	68	0	-99.73
gain	0	69	-107.04
gain	69	0	-103.41
gain	0	70	-107.09
gain	70	0	-107.48
gain	0	71	-106.96
gain	71	0	-107.39
gain	0	72	-94.06
gain	72	0	-95.33
gain	0	73	-97.53
gain	73	0	-94.23
gain	0	74	-89.37
gain	74	0	-89.30
gain	0	75	-103.41
gain	75	0	-107.92
gain	0	76	-54.71
gain	76	0	-48.09
gain	0	77	-73.66
gain	77	0	-69.96
gain	0	78	-102.81
gain	78	0	-103.67
gain	0	79	-97.38
gain	79	0	-95.70
gain	0	80	-92.19
gain	80	0	-94.75
gain	0	81	-101.62
gain	81	0	-97.35
gain	0	82	-91.43
gain	82	0	-88.85
gain	0	83	-92.51
gain	83	0	-91.40
gain	0	84	-113.11
gain	84	0	-108.93
gain	0	85	-101.50
gain	85	0	-97.89
gain	0	86	-98.16
gain	86	0	-96.91
gain	0	87	-106.59
gain	87	0	-102.44
gain	0	88	-105.33
gain	88	0	-96.60
gain	0	89	-85.06
gain	89	0	-86.60
gain	0	90	-96.18
gain	90	0	-89.05
gain	0	91	-64.20
gain	91	0	-59.83
gain	0	92	-105.42
gain	92	0	-100.71
gain	0	93	-109.94
gain	93	0	-106.11
gain	0	94	-98.62
gain	94	0	-94.24
gain	0	95	-116.67
gain	95	0	-113.19
gain	0	96	-107.18
gain	96	0	-101.53
gain	0	97	-99.44
gain	97	0	-95.95
gain	0	98	-106.51
gain	98	0	-105.33
gain	0	99	-97.69
gain	99	0	-94.61
gain	0	100	-60.80
gain	100	0	-61.61
gain	1	2	-93.88
gain	2	1	-94.12
gain	1	3	-93.78
gain	3	1	-95.95
gain	1	4	-74.37
gain	4	1	-67.89
gain	1	5	-86.71
gain	5	1	-88.35
gain	1	6	-82.47
gain	6	1	-81.17
gain	1	7	-96.22
gain	7	1	-96.13
gain	1	8	-86.78
gain	8	1	-87.48
gain	1	9	-94.62
gain	9	1	-96.07
gain	1	10	-66.80
gain	10	1	-64.63
gain	1	11	-91.06
gain	11	1	-92.59
gain	1	12	-87.80
gain	12	1	-87.50
gain	1	13	-90.01
gain	13	1	-92.66
gain	1	14	-100.60
gain	14	1	-98.96
gain	1	15	-75.48
gain	15	1	-75.05
